party_no,canonical_name,aliases,source_pdf,source_page,source_note
1,ไทยทรัพย์ทวี,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,1,Official ECT 6/1 (บช.) party-list aggregate table
2,เพื่อชาติไทย,เพื่อชาติโไทย|เพื่อซาติโไทย,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,1,Official ECT 6/1 (บช.) party-list aggregate table
3,ใหม่,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,1,Official ECT 6/1 (บช.) party-list aggregate table
4,มิติใหม่,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
5,รวมใจไทย,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
6,รวมไทยสร้างชาติ,รวมไทยสร้างซาติ,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
7,พลวัต,พลวัตร,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
8,ประชาธิปไตยใหม่,ประชาธิปโดยใหม่,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
9,เพื่อไทย,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
10,ทางเลือกใหม่,ทางเลือกใหม|ทางเลือกไหม|ทางเลือกไหม่,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
11,เศรษฐกิจ,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
12,เสรีรวมไทย,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
13,รวมพลังประชาชน,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
14,ท้องที่ไทย,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
15,อนาคตไทย,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
16,พลังเพื่อไทย,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
17,ไทยชนะ,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
18,พลังสังคมใหม่,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
