station_id,station_name,district,subdistrict,aliases,source_pdf,source_url,source_note
,ต.กุดน้ำใส,อำเภอจัตุรัส,กุดน้ำใส,กุดน้ำใส|ตำบลกุดน้ำใส,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Official ECT 5/18 PDF filename in prepared manifest
,ต.บ้านกอก,อำเภอจัตุรัส,บ้านกอก,บ้านกอก|ตำบลบ้านกอก,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Official ECT 5/18 PDF filename in prepared manifest
,ต.บ้านขาม,อำเภอจัตุรัส,บ้านขาม,บ้านขาม|ตำบลบ้านขาม,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านขาม-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Official ECT 5/18 PDF filename in prepared manifest
,ต.ละหาน,อำเภอจัตุรัส,ละหาน,ละหาน|ตำบลละหาน,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Official ECT 5/18 PDF filename in prepared manifest
,ต.ส้มป่อย,อำเภอจัตุรัส,ส้มป่อย,ส้มป่อย|ตำบลส้มป่อย,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Official ECT 5/18 PDF filename in prepared manifest
,ต.หนองบัวบาน,อำเภอจัตุรัส,หนองบัวบาน,หนองบัวบาน|ตำบลหนองบัวบาน,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Official ECT 5/18 PDF filename in prepared manifest
,ต.หนองบัวโคก,อำเภอจัตุรัส,หนองบัวโคก,หนองบัวโคก|ตำบลหนองบัวโคก,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Official ECT 5/18 PDF filename in prepared manifest
,ต.หนองบัวใหญ่,อำเภอจัตุรัส,หนองบัวใหญ่,หนองบัวใหญ่|ตำบลหนองบัวใหญ่,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Official ECT 5/18 PDF filename in prepared manifest
,ต.หนองโดน,อำเภอจัตุรัส,หนองโดน,หนองโดน|ตำบลหนองโดน,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Official ECT 5/18 PDF filename in prepared manifest
,ทต.จัตุรัส ทต.บ้านกอก,อำเภอจัตุรัส,จัตุรัส/บ้านกอก,จัตุรัส|บ้านกอก|เทศบาลตำบลจัตุรัส|เทศบาลตำบลบ้านกอก,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Official ECT 5/18 PDF filename in prepared manifest
