province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status,reviewer_notes
ชัยภูมิ,2,5_18,constituency,1,จัตุรัส,กุดน้ำใส,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,13,524,291,262,19,10,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,1,จัตุรัส,กุดน้ำใส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,66,524,291,262,19,10,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,1,จัตุรัส,กุดน้ำใส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,156,524,291,262,19,10,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,1,จัตุรัส,กุดน้ำใส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,7,524,291,262,19,10,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,1,จัตุรัส,กุดน้ำใส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,5,524,291,262,19,10,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,1,จัตุรัส,กุดน้ำใส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,3,524,291,262,19,10,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,1,จัตุรัส,กุดน้ำใส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,12,524,291,262,19,10,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,2,จัตุรัส,กุดน้ำใส,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,10,343,216,190,13,13,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,7,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 7 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,2,จัตุรัส,กุดน้ำใส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,54,343,216,190,13,13,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,7,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 7 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,2,จัตุรัส,กุดน้ำใส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,108,343,216,190,13,13,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,7,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 7 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,2,จัตุรัส,กุดน้ำใส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,4,343,216,190,13,13,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,7,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 7 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,2,จัตุรัส,กุดน้ำใส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,6,343,216,190,13,13,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,7,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 7 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,2,จัตุรัส,กุดน้ำใส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,4,343,216,190,13,13,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,7,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 7 because handwritten votes were not reliable in OCR
