province,zone,form_type,voting_type,station_id,station_name,candidate_no,candidate_name,party,votes,total_ballots,invalid_ballots,no_vote_ballots
ชัยภูมิ,2,516,in_district,,,2,นางสาววาสนา อยู่ภักดี,ประชาชน,1,,,
ชัยภูมิ,2,516,in_district,,,7,DOS,A,,,,
ชัยภูมิ,2,516,in_district,,,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,517,out_district,2,,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,8,,,
ชัยภูมิ,2,517,out_district,2,,4,นายณรงค์ แขนอก,ประชาธิปัตย์,8,,,
ชัยภูมิ,2,517,out_district,2,,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,517,out_district,2,,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,8,,,
ชัยภูมิ,2,517,out_district,2,,7,,Aรนจก,,,,
ชัยภูมิ,2,517,out_district,2,,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,517,out_district,2,,22,ชารs,sา oย,,,,
ชัยภูมิ,2,517,out_district,2,,53,ทานOa ทานOด,,8,,,
ชัยภูมิ,2,517,out_district,7,,2,นางสาววาสนา อยู่ภักดี,ประชาชน,11,,,
ชัยภูมิ,2,517,out_district,7,,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,,,
ชัยภูมิ,2,517,out_district,7,,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,11,,,
ชัยภูมิ,2,517,out_district,7,,9,หowne หobne ป ป,oug suga,11,,,
ชัยภูมิ,2,517,out_district,700,,4,นายณรงค์ แขนอก,ประชาธิปัตย์,3,,,
ชัยภูมิ,2,517,out_district,700,,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,2,,,
ชัยภูมิ,2,517,out_district,700,,7,นกs un,,10,,,
ชัยภูมิ,2,517,out_district,700,,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,10,,,
ชัยภูมิ,2,517,out_district,700,,40,นnd สาปรS นnd สปรลS,goTd goTwd,3,,,
ชัยภูมิ,2,517,out_district,,,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,,,,
ชัยภูมิ,2,517,out_district,,,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,517,out_district,,,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,517,out_district,,,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,517,out_district,,,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,517,out_district,,,7,ssn,,,,,
ชัยภูมิ,2,517,out_district,,,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,1,,,
ชัยภูมิ,2,517,out_district,,,11,,b,,,,
ชัยภูมิ,2,517,out_district,,,55,SBคSON,กูไ,,,,
ชัยภูมิ,2,518,election_day,1,กุดน้ำใส จัตุรัส,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,13,291,19,10
ชัยภูมิ,2,518,election_day,1,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,66,291,19,10
ชัยภูมิ,2,518,election_day,1,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,156,291,19,10
ชัยภูมิ,2,518,election_day,1,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,7,291,19,10
ชัยภูมิ,2,518,election_day,1,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,5,291,19,10
ชัยภูมิ,2,518,election_day,1,กุดน้ำใส จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,3,291,19,10
ชัยภูมิ,2,518,election_day,1,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,12,291,19,10
ชัยภูมิ,2,518,election_day,2,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,54,,,
ชัยภูมิ,2,518,election_day,2,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,2,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,518,election_day,2,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,2,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,4,,,
ชัยภูมิ,2,518,election_day,3,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,518,election_day,3,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,3,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,518,election_day,3,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,3,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,4,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,23,,,
ชัยภูมิ,2,518,election_day,4,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,26,,,
ชัยภูมิ,2,518,election_day,4,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,4,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,5,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,7,,,
ชัยภูมิ,2,518,election_day,5,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,5,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,518,election_day,5,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,5,กุดน้ำใส จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,,,,
ชัยภูมิ,2,518,election_day,5,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,5850,,,
ชัยภูมิ,2,518,election_day,6,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,518,election_day,6,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,4,,,
