row_index,priority,form_type,vote_type,polling_station_no,choice_no,choice_name,party_name,votes,source_pdf,source_page,choice_in_master,has_missing_votes,classification,recommended_action
34,P1,5_17,constituency,7.0,9,หowne หobne ป ป,oug suga,11.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,3,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
47,P1,5_17,constituency,,11,,b,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,7,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
48,P1,5_17,constituency,,55,SBคSON,กูไ,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,7,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
45,P1,5_17,constituency,,7,ssn,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,9,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
37,P1,5_17,constituency,700.0,7,นกs un,,10.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,11,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
39,P1,5_17,constituency,700.0,40,นnd สาปรS นnd สปรลS,goTd goTwd,3.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,11,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
27,P1,5_17,constituency,2.0,7,,Aรนจก,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
29,P1,5_17,constituency,2.0,22,ชารs,sา oย,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
30,P1,5_17,constituency,2.0,53,ทานOa ทานOด,,8.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
1,P1,5_16,constituency,,7,DOS,A,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-แบ่งเขต-นอกเขต.pdf,1,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
278,P1,5_18,constituency,56.0,63,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ ประชาชน เพื่อไทย A,1.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,61,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
423,P1,5_18,constituency,93.0,95,IsV,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,67,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
536,P1,5_18,constituency,120.0,7,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก นายทัศนัย สุขประสาร นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ประชาธิปัตย์ ภูมิใจไทย ภูมิใจไทย N.,2.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,42,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
4221,P1,5_18_partylist,party_list,120.0,59,,ประชาอาสาชาติ ประชาอาสาชาติ O,8.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,46,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
563,P1,5_18,constituency,129.0,50,"m m m − -L- L. E "" : i I E : * I : L E : L กรอกทั้งดัวเล",เลขประจำตัวผู้ส: : HL BUAOV BUROV UNOO -----น O OJSOย a F √,2.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,25,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
567,P1,5_18,constituency,130.0,9,นายเซชิงชาย ขาลีรินทร์ นายเซิงชาย ขาลีรินทร์ นายณรงค์ แขนอก นายณรงค์ แขนอก,ประชาธิปัตย์ ประชาธิปัตย์ เพื่อไทย เพื่อไทย ---------+,6.0,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,31,False,False,invalid_choice_number,Do not add this choice number to master automatically. Verify the source row because OCR likely merged table text or misread row number.
