row_index,priority,form_type,vote_type,polling_station_no,choice_no,choice_name,party_name,votes,source_pdf,source_page,choice_in_master,has_missing_votes,classification,recommended_action
47,P1,5_17,constituency,,11,,b,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,7,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
48,P1,5_17,constituency,,55,SBคSON,กูไ,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,7,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
45,P1,5_17,constituency,,7,ssn,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,9,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
27,P1,5_17,constituency,2.0,7,,Aรนจก,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
29,P1,5_17,constituency,2.0,22,ชารs,sา oย,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
1,P1,5_16,constituency,,7,DOS,A,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-แบ่งเขต-นอกเขต.pdf,1,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
423,P1,5_18,constituency,93.0,95,IsV,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,67,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
616,P1,5_18,constituency,145.0,7,UCกกNALSMLUELRELUEMBLS,A Dr,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
617,P1,5_18,constituency,145.0,9,"""nenLe MenLe O MUCUISUEMOBLSONNLWWUOSUEMNENL (WUGEINCAMC) MWUELUWUOIUEMCMLC ด ซ A",PR R,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
623,P1,5_18,constituency,147.0,20,,G,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,12,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
699,P1,5_18,constituency,162.0,9,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี ซ a,ไทยก้าวใหม่ ไทยก้าวใหม่ ประชาชน ประชาชน,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,17,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
1114,P1,5_18,constituency,228.0,9,นายประเสริฐศักดิ์ ขำหินตั้ง,ไทยก้าวใหม่ ไทยก้าวใหม่ V,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,11,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
6066,P1,5_18_partylist,party_list,211.0,94,ge,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,97,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
6311,P1,5_18_partylist,party_list,222.0,84,UA UaJg,CUUEUNANGTEAยRMBOURD (IUAEUNNSTEAPUCMBOURD,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,138,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
6471,P1,5_18_partylist,party_list,230.0,63,,ใหม่ ใหม่ มิติใหม่ มิติใหม่ C,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,173,False,True,needs_digit_fallback,"Create a vote-cell crop or use Google fallback, then record the correct vote in data/external/reviewed_vote_cells.csv."
