field,observed_value,suggested_value,score,status,form_type,polling_station_no,choice_no,source_pdf,source_page
choice_name,DOS,กวัสย์ หงษ์ไทย,0.0,no_confident_match,5_16,,7,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-แบ่งเขต-นอกเขต.pdf,1
party_name,A,กรีน,0.0,no_confident_match,5_16,,7,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-แบ่งเขต-นอกเขต.pdf,1
party_name,Aรนจก,กรีน,0.4444,no_confident_match,5_17,2.0,7,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15
choice_name,ชารs,เชิงชาย ชาลีรินทร์,0.2857,no_confident_match,5_17,2.0,22,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15
party_name,sา oย,ประชาไทย,0.3333,no_confident_match,5_17,2.0,22,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15
choice_name,ทานOa ทานOด,วาสนา อยู่ภักดี,0.3333,no_confident_match,5_17,2.0,53,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15
choice_name,หowne หobne ป ป,กวัสย์ หงษ์ไทย,0.08,no_confident_match,5_17,7.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,3
party_name,oug suga,กรีน,0.0,no_confident_match,5_17,7.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,3
choice_name,นกs un,ณรงค์ แขนอก,0.2667,no_confident_match,5_17,700.0,7,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,11
choice_name,นnd สาปรS นnd สปรลS,นายเชิงชาย ชาลีรินทร์,0.2778,no_confident_match,5_17,700.0,40,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,11
party_name,goTd goTwd,กรีน,0.0,no_confident_match,5_17,700.0,40,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,11
choice_name,ssn,กวัสย์ หงษ์ไทย,0.0,no_confident_match,5_17,,7,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,9
party_name,b,กรีน,0.0,no_confident_match,5_17,,11,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,7
choice_name,SBคSON,ณรงค์ แขนอก,0.125,no_confident_match,5_17,,55,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,7
party_name,กูไ,ภูมิใจไทย,0.3333,no_confident_match,5_17,,55,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,7
party_name,ได้กรอกทั่งดัวเลขแหรตัวรัวษร),ไทยทรัพย์ทวี,0.2439,no_confident_match,5_18,7.0,38,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,38
