manifest_index,form_type,vote_type,file_name,file_path,pdf_exists,pdf_pages,raw_json_pages,parsed_rows,status
1,5_17_partylist,party_list,02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,True,32,32,53,complete
2,5_17,constituency,02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,True,16,16,10,complete
3,5_16_partylist,party_list,02-แบบ ส.ส.5_16-บัญชีรายชื่อ-นอกเขต.pdf,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-บัญชีรายชื่อ-นอกเขต.pdf,True,4,4,9,complete
4,5_16,constituency,02-แบบ ส.ส.5_16-แบ่งเขต-นอกเขต.pdf,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-แบ่งเขต-นอกเขต.pdf,True,2,2,2,complete
5,5_18_auto,auto,ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,True,103,2,3,partial
6,5_18_auto,auto,ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,True,90,0,0,not_started
7,5_18_auto,auto,ต.บ้านขาม-แบ่งเขต_บัญชีรายชื่อ.pdf,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านขาม-แบ่งเขต_บัญชีรายชื่อ.pdf,True,86,0,0,not_started
8,5_18_auto,auto,ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,True,126,0,0,not_started
9,5_18_auto,auto,ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,True,90,0,0,not_started
10,5_18_auto,auto,ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,True,108,0,0,not_started
