province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_17,constituency,,,,6,ัตรี่ม่เลือกผูสมัครผูด 5บัตร,,9.0,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,1,paddleocr,0.6798,ok
ชัยภูมิ,2,5_17,constituency,,,,8,g ...ิเช็ด นน,,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,3,paddleocr,0.6975,needs_review
ชัยภูมิ,2,5_17,constituency,,,,5,มยราง ูม$ ภมรมคก,,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,5,paddleocr,0.7044,needs_review
ชัยภูมิ,2,5_17,constituency,,,,8,ดรบ,,1.0,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,5,paddleocr,0.7044,ok
ชัยภูมิ,2,5_17,constituency,,,,11,bMกOงค,,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,7,paddleocr,0.7065,needs_review
ชัยภูมิ,2,5_17,constituency,,,,4,ดย,,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15,paddleocr,0.6348,needs_review
ชัยภูมิ,2,5_17,constituency,,,,5,งnm ดย,,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15,paddleocr,0.6348,needs_review
ชัยภูมิ,2,5_17,constituency,,,,7,เศรนกง,,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15,paddleocr,0.6348,needs_review
ชัยภูมิ,2,5_17,constituency,,,,2,เศรนกง,,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15,paddleocr,0.6348,needs_review
ชัยภูมิ,2,5_17,constituency,,,,8,เศรนกง,,,,,,,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,15,paddleocr,0.6348,needs_review
