province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,นเว,/เทศบาล.,1,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี see,ไทยก้าวใหม่ ประชาชน M. (e,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7084,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,นเว,/เทศบาล.,2,นางสาววาสนา อยู่ภักดี นายเชิงชาย ชาลีรินทร์ U,ประชาชน เพื่อไทย M. (e,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7084,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,นเว,/เทศบาล.,3,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก U,ประชาธิปัตย์ เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7084,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,นเว,/เทศบาล.,4,นายณรงค์ แขนอก นายทัศนัย สุขประสาร,ประชาธิปัตย์ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7084,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,นเว,/เทศบาล.,5,นายโสโชค สู้โนนตาด นายณรงค์ แขนอก นายทัศนัย สุขประสาร,รวมไทยสร้างชาติ ภูมิใจไทย Lo.,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7084,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,นเว,/เทศบาล.,8,นายถวัลย์ หงษ์ไทย ะลู,เศรษฐกิจ e Sy,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7084,needs_review
ชัยภูมิ,2,5_18,constituency,5.0,,,2,อที่นั,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.656,needs_review
ชัยภูมิ,2,5_18,constituency,5.0,,,1,อที่นั,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.656,needs_review
ชัยภูมิ,2,5_18,constituency,5.0,,,3,อที่นั,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.656,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,เขตเลือกตั้งที่,/เทศบาล..,1,นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,150.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7011,ok
