province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,,.,,1,นายประเสริฐศักดิ์ ขำหินตั้ง,ไทยก้าวใหม่ ประชาชน,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7261,needs_review
ชัยภูมิ,2,5_18,constituency,,.,,2,นายเชิงชาย ชาลีรินทร์,ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7261,needs_review
ชัยภูมิ,2,5_18,constituency,,.,,3,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7261,ok
ชัยภูมิ,2,5_18,constituency,,.,,4,นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7261,ok
ชัยภูมิ,2,5_18,constituency,,.,,6,นายโสโชค สู้โนนตาด น,รวมไทยสร้างชาติ ด,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7261,needs_review
ชัยภูมิ,2,5_18,constituency,,.,,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7261,needs_review
ชัยภูมิ,2,5_18,constituency,,.,,5,นายโสโชค สู้โนนตาด นายทัศนัย สุขประสาร นายณรงค์ แขนอก นายทัศนัย สุขประสาร นายโสโชค สู้โนนตาด นายณรงค์ แขนอก,รวมไทยสร้างชาติ รวมไทยสร้างชาติ ภูมิใจไทย ภูมิใจไทย ด,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7261,needs_review
ชัยภูมิ,2,5_18,constituency,5.0,,,1,R,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.625,needs_review
ชัยภูมิ,2,5_18,constituency,5.0,,,2,R,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.625,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,.M.H.,/เทศบาล..คดง..,1,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,,336.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7116,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,.M.H.,/เทศบาล..คดง..,3,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย,,336.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7116,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,.M.H.,/เทศบาล..คดง..,4,นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย,,336.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7116,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,.M.H.,/เทศบาล..คดง..,5,นายทัศนัย สุขประสาร นายโสโซค สู้โนนตาด นายณรงค์ แขนอก,รวมไทยสร้างชาติ ภูมิใจไทย,,336.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7116,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,.M.H.,/เทศบาล..คดง..,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ,1.0,336.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7116,ok
ชัยภูมิ,2,5_18,constituency,1.0,.M.H.,/เทศบาล..คดง..,2,นางสาววาสนา อยู่ภักดี นายเชิงชาย ชาลีรินทร์ นายเชิงชาย ชาลีรินทร์ นางสาววาสนา อยู่ภักดี ด,ประชาชน ประชาชน เพื่อไทย เพื่อไทย,,336.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7116,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,.M.H.,/เทศบาล..คดง..,6,นายเชิงชาย ชาลีรินทร์ นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก นายณรงค์ แขนอก ด,ประชาธิปัตย์ ประชาธิปัตย์ เพื่อไทย เพื่อไทย,,336.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7116,needs_review
ชัยภูมิ,2,5_18,constituency,24.0,,,2,ดูที่,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.6013,needs_review
ชัยภูมิ,2,5_18,constituency,24.0,,,1,ดูที่,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.6013,needs_review
ชัยภูมิ,2,5_18,constituency,24.0,,,3,ดูที่,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.6013,needs_review
ชัยภูมิ,2,5_18,constituency,,.มาน,/เทศบาล.Mตอซ,1,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.6911,needs_review
ชัยภูมิ,2,5_18,constituency,,.มาน,/เทศบาล.Mตอซ,2,นายเชิงชาย ชาลีรินทร์ นางสาววาสนา อยู่ภักดี,ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.6911,needs_review
ชัยภูมิ,2,5_18,constituency,,.มาน,/เทศบาล.Mตอซ,3,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ ประชาชน เพื่อไทย,5.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.6911,ok
ชัยภูมิ,2,5_18,constituency,,.มาน,/เทศบาล.Mตอซ,4,นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย,5.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.6911,ok
ชัยภูมิ,2,5_18,constituency,,.มาน,/เทศบาล.Mตอซ,6,นายโสโซค สู้โนตาด,รวมไทยสร้างชาติ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.6911,needs_review
ชัยภูมิ,2,5_18,constituency,,.มาน,/เทศบาล.Mตอซ,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.6911,needs_review
ชัยภูมิ,2,5_18,constituency,,.มาน,/เทศบาล.Mตอซ,5,นายโสโซค สู้โนตาด นายทัศนัย สุขประสาร นายโสโซค สู้โนนตาด นายณรงค์ แขนอก นายทัศนัย สุขประสาร นายณรงค์ แขนอก,รวมไทยสร้างชาติ รวมไทยสร้างชาติ ประชาธิปัตย์ ภูมิใจไทย ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.6911,needs_review
ชัยภูมิ,2,5_18,constituency,6.0,,/นอำภาอ,1,นายประเสริฐศักดิ์ ขำหินตั้ นางสาววาสนา อยู่ภักดี น,ไทยก้าวใหม่ ประชาชน,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,7,paddleocr+zones,0.6572,needs_review
ชัยภูมิ,2,5_18,constituency,6.0,,/นอำภาอ,3,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,7,paddleocr+zones,0.6572,needs_review
ชัยภูมิ,2,5_18,constituency,6.0,,/นอำภาอ,4,นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย,90.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,7,paddleocr+zones,0.6572,ok
