province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,/เทศบาล.น(no),1,นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ทุ่งทอง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7523,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,/เทศบาล.น(no),16,นางสาววาสนา อยู่ภักดี นายเชิงชาย ชาลีรินทร์,ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ทุ่งทอง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7523,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,/เทศบาล.น(no),3,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ทุ่งทอง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7523,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,/เทศบาล.น(no),8,นายถวัลย์ หงษ์ไทย ะอ,เศรษฐกิจ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ทุ่งทอง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7523,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,/เทศบาล.น(no),2,นางสาววาสนา อยู่ภักดี นางสาววาสนา อยู่ภักดี นายเชิงชาย ชาลีรินทร์ นายเซชิงชาย ชาลีรินทร์,ประชาชน ประชาชน เพื่อไทย เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ทุ่งทอง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7523,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,/เทศบาล.น(no),4,นายณรงค์ แขนอก นายทัศนัย สุขประสาร นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ประชาธิปัตย์ ภูมิใจไทย ภูมิใจไทย,7.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ทุ่งทอง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7523,ok
ชัยภูมิ,2,5_18,constituency,1.0,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,/เทศบาล.น(no),5,นายโสโชค สู้โนนตาด นายณรงค์ แขนอก นายทัศนัย สุขประสาร นายโสโชค สู้โนนตาด นายทัศนัย สุขประสาร นายณรงค์ แขนอก,รวมไทยสร้างชาติ รวมไทยสร้างชาติ ภูมิใจไทย ภูมิใจไทย A..,7.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ทุ่งทอง-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7523,ok
ชัยภูมิ,2,5_18,constituency,1.0,เลือกตั้งของหน่วยเลือกตั้งที..,.เทศบาลต้วนล.รุงท.,1,นายประเสริฐศักด์ขำหินตั้ง นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,,99.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ทุ่งทอง-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7051,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,เลือกตั้งของหน่วยเลือกตั้งที..,.เทศบาลต้วนล.รุงท.,3,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย,0.0,99.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ทุ่งทอง-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7051,ok
ชัยภูมิ,2,5_18,constituency,1.0,เลือกตั้งของหน่วยเลือกตั้งที..,.เทศบาลต้วนล.รุงท.,5,นายโสโชค สู้โนนตาด นายทัศนัย สุขประสาร นายณรงค์ แขนอก,รวมไทยสร้างชาติ ภูมิใจไทย,,99.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ทุ่งทอง-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7051,needs_review
