province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,/ซศ.,/เทศษาล...ปร่นกะ9,4,นายทัศนัย สุขประสาร นายทัศนัย สุขประสาร นายณรงค์ แขนอก นายณรงค์ แขนอก,ประชาธิปัตย์ ประชาธิปิตย์ ภูมิใจไทย ภูมิใจไทย ---*-:,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6763,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,/ซศ.,/เทศษาล...ปร่นกะ9,5,นายโสโชค สู้โนนตาด นายโสโซค สู้โนนตาด นายทัศนัย สุขประสาร นายทัศนัย สุขประสาร นายณรงค์ แขนอก นายณรงค์ แขนอก,รวมไทยสร้างชาติ รวมไทยสร้างชาติ ภูมิใจไทย ภูมิใจไทย แ-----,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6763,needs_review
ชัยภูมิ,2,5_18,constituency,0.0,,,3,H,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.5978,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,21.0,/ต,/เทศษาล.,8,,เพื่อไทย เพื่อไทย ประชาธิปไตยใหม่ ประชาธิปไตยใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6431,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,25,,เพื่อชีวิตใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.7435,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,26,,คลองไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.7435,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,2,,ประชาธิปัตย์,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.7435,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,28,,ไทยก้าวหน้า ไทยภักดี,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.7435,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,29,,ไทยภักดี,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.7435,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,3,,แรงงานสร้างซาติ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.7435,needs_review
