province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล.,/เทศบาล.:,1,นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6961,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล.,/เทศบาล.:,6,นางสาววาสนา อยู่ภักดี นายเชิงชาย ชาลีรินทร์,ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6961,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล.,/เทศบาล.:,63,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6961,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล.,/เทศบาล.:,4,นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6961,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล.,/เทศบาล.:,5,นายโสโชค สู้โนนตาด นายทัศนัย สุขประสาร นายณรงค์ แขนอก,รวมไทยสร้างชาติ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6961,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล.,/เทศบาล.:,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ L,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6961,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล.,/เทศบาล.:,62,นางสาววาสนา อยู่ภักดี นางสาววาสนา อยู่ภักดี นายเชิงชาย ชาลีรินทร์ นายเซิงชาย ชาลีรินทร์,ประชาชน ประชาชน เพื่อไทย เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6961,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล.,/เทศบาล.:,3,นายเชิงชาย ชาลีรินทร์ นายเซิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ ประชาธิปัตย์ เพื่อไทย เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6961,needs_review
ชัยภูมิ,2,5_18,constituency,603.0,,,2,ซู.ที่น,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.6978,needs_review
ชัยภูมิ,2,5_18,constituency,603.0,,,1,ซู.ที่น,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.6978,needs_review
ชัยภูมิ,2,5_18,constituency,603.0,,,3,ซู.ที่น,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.6978,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ชัยภูมิธิ,,1,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.693,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ชัยภูมิธิ,,6,นางสาววาสนา อยู่ภักดี นายเชิงชาย ชาลีรินทร์ ญ,ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.693,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ชัยภูมิธิ,,3,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก ญ,ประชาธิปัตย์ ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.693,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ชัยภูมิธิ,,4,นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย X,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.693,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ชัยภูมิธิ,,5,นายทัศนัย สุขประสาร นายโสโซค สู้โนนตาด นายณรงค์ แขนอก,รวมไทยสร้างชาติ ภูมิใจไทย X,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.693,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ชัยภูมิธิ,,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.693,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ชัยภูมิธิ,,2,นางสาววาสนา อยู่ภักดี นายเชิงชาย ชาลีรินทร์ นายเชิงชาย ซาลีรินทร์ ญ,ประชาชน ประชาชน เพื่อไทย เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.693,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,.มานเขลว,/เทศบาล.น้วนเชลา,1,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.7137,ok
ชัยภูมิ,2,5_18,constituency,1.0,.มานเขลว,/เทศบาล.น้วนเชลา,6,นายเชิงชาย ซาลีรินทร์ นางสาววาสนา อยู่ภักดี,ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.7137,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,.มานเขลว,/เทศบาล.น้วนเชลา,3,นายเชิงชาย ซาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.7137,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,.มานเขลว,/เทศบาล.น้วนเชลา,4,นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย,17.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.7137,ok
ชัยภูมิ,2,5_18,constituency,1.0,.มานเขลว,/เทศบาล.น้วนเชลา,5,นายโสโชค สู้โนนตาด นายทัศนัย สุขประสาร นายณรงค์ แขนอก,รวมไทยสร้างชาติ ประชาธิปัตย์ ภูมิใจไทย,17.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.7137,ok
ชัยภูมิ,2,5_18,constituency,1.0,.มานเขลว,/เทศบาล.น้วนเชลา,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.7137,ok
ชัยภูมิ,2,5_18,constituency,1.0,.มานเขลว,/เทศบาล.น้วนเชลา,9,นายประเสริฐศักดิ์ ขำหินตัง นายประเสริฐศักดิ์ ขำหินตั้ง,ไทยก้าวใหม่ ไทยก้าวใหม่,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,5,paddleocr+zones,0.7137,ok
