province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล.ละหาน,3,นายณรงค์ แขนอก นายเชิงชาย ชาลีรินทร์,ประชาธิปัตย์ ประชาชน เพื่อไทย,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7986,ok
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล.ละหาน,4,นายณรงค์ แขนอก นายทัศนัย สุขประสาร นายเชิงชาย ชาลีรินทร์,ประชาธิปัตย์ ภูมิใจไทย,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7986,ok
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล.ละหาน,5,นายโสโซค สู้โนนตาด นายณรงค์ แขนอก นายทัศนัย สุขประสาร,ประชาธิปัตย์ ภูมิใจไทย,9.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7986,ok
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล.ละหาน,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7986,ok
ชัยภูมิ,2,5_18_partylist,party_list,,.,/เทศบาล.ละหน,1,,ใหม่ เพื่อชาติไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7711,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,.,/เทศบาล.ละหน,3,,ใหม่ มิติใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7711,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,.,/เทศบาล.ละหน,5,,รวมไทยสร้างชาติ รวมใจไทย,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7711,ok
ชัยภูมิ,2,5_18_partylist,party_list,,.,/เทศบาล.ละหน,7,,พลวัต ประชาธิปไตยใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7711,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,.,/เทศบาล.ละหน,8,,เพื่อไทย ประชาธิปไตยใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7711,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,.,/เทศบาล.ละหน,9,,เพื่อไทย ทางเลือกใหม,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7711,needs_review
