province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล.....,2,นางสาววาสนา อยู่ภักดี นายเชิงชาย ชาลีรินทร์,ไทยก้าวใหม่ ประชาชน เพื่อไทย,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7959,ok
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล.....,3,นายณรงค์ แขนอก นายเชิงชาย ชาลีรินทร์,ประชาธิปัตย์ ประชาชน เพื่อไทย,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7959,ok
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล.....,4,นายทัศนัยสุขประสาร นายณรงค์ แขนอก นายเชิงชาย ชาลีรินทร์,ประชาธิปัตย์ ภูมิใจไทย,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7959,ok
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล.....,5,นายโสโชค สู้โนนตาด นายทัศนัยสุขประสาร นายณรงค์ แขนอก,รวมไทยสร้างชาติ ประชาธิปัตย์ ภูมิใจไทย,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7959,ok
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล.....,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ,3.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7959,ok
ชัยภูมิ,2,5_18,constituency,9.0,,,9,,(ังโกรลงทีางออม,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.5919,needs_review
ชัยภูมิ,2,5_18,constituency,9.0,,,3,,(ังโกรลงทีางออม,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.5919,needs_review
ชัยภูมิ,2,5_18,constituency,9.0,,,2,,(ังโกรลงทีางออม,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,2,paddleocr+zones,0.5919,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,.,,3,,ใหม่ มิติใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7714,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,.,,4,,มิติใหม่ รวมใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7714,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,.,,5,,รวมไทยสร้างชาติ รวมใจไทย,60.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.7714,ok
