province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,2.0,,,9,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6856,needs_review
ชัยภูมิ,2,5_18,constituency,2.0,,,5,นายโสโซค สูโนนตาด นายทัศนัย สุขประสาร นายณรงค์ แขนอก,รวมไทยสร้างชาติ ภูมิใจไทย,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6856,ok
ชัยภูมิ,2,5_18,constituency,2.0,,,4,นายถวัลย์ หงษ์ไทย นายถวัลย์ หงษ์ไทย รวมคะแบนทั้งสิ้น รวมคะแนบทั้งสิ้น,เศรษฐกิจ เศรษฐกิจ F L,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6856,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,2,,5,,รวมใจไทย รวมใจไทย รวมไทยสร้างชาติ รวมไทยสร้างชาติ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6672,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,2,,8,,เพื่อไทย เพื่อไทย ประชาธิปไโตยใหม่ ประชาธิปไโตยใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6672,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,2,,4,,เพื่อไทย เพื่อไทย ทางเลือกไหม ทางเลือกโหม ---F-,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6672,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,2,,10,,ทางเลือกไหม ทางเลือกโหม ---F-,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6672,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,5,,คลองไทย เพื่อชีวิตใหม่,1.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.612,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,2,,ประชาธิปิตย์ คลองไทย,1.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.612,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,28,,ไทยภักดี ไทยก้าวหน้า ],,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.612,needs_review
