province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,,/แขว/เทตบาลอคดกอำกอ/เขด,6,นายณรงค์ แขนอก นายเชิงชาย ชาลีรินทร์,ประชาธิปัตย์ ประชาซน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7234,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,,/แขว/เทตบาลอคดกอำกอ/เขด,4,นายทัศนัย สุขประสาร นายณรงค์ แขนอก นายเชิงชาย ชาลีรินทร์,ประชาธิปัตย์ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7234,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,,/แขว/เทตบาลอคดกอำกอ/เขด,5,นายโสโชค สู้โนนตาด นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7234,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,,/แขว/เทตบาลอคดกอำกอ/เขด,8,นายถวัลย์หงษ์ไทย,เศรษฐกิจ,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.7234,ok
ชัยภูมิ,2,5_18_partylist,party_list,1.0,,,1,,เพื่อชาติไทย ไทยทรัพย์ทวี,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6794,ok
ชัยภูมิ,2,5_18_partylist,party_list,1.0,,,3,,ใหม่ มิติใหม่,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6794,ok
ชัยภูมิ,2,5_18_partylist,party_list,1.0,,,4,,มิติใหม่ รวมใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6794,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,,,5,,รวมใจไทย รวมไทยสร้างชาติ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6794,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,,,6,,พลวัต รวมไทยสร้างชาติ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6794,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,,,8,,ประชาธิปไตยใหม่ เพื่อไทย,1005.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6794,ok
