province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศนบาลโาปาน,5,รวมไทยสร้างชาติ ประชาธิปัตย์,ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6532,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศนบาลโาปาน,8,รวมคะแน่นทั้งสิ้น,เศรษฐกิจ b,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,1,paddleocr+zones,0.6532,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,3,,ใหม่ มิตีใหม่,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6791,ok
ชัยภูมิ,2,5_18_partylist,party_list,,,,5,,รวมไทยสร้างชาติ รวมใอไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6791,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,6,,พลวัต์ รวมไทยสร้างชาติ,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6791,ok
ชัยภูมิ,2,5_18_partylist,party_list,,,,8,,เพื่อไทย ประชาธิปไตยโหม่,8360.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6791,ok
ชัยภูมิ,2,5_18_partylist,party_list,,,,10,,ทางเลือกใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,3,paddleocr+zones,0.6791,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,27,,ประชาธิปัตย์ ไทยก้าวหน้า qp..,9.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.7324,ok
ชัยภูมิ,2,5_18_partylist,party_list,,,,28,,ไทยภักดี ไทยก้าวหน้า,9.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.7324,ok
ชัยภูมิ,2,5_18_partylist,party_list,,,,29,,ไทยภักดี แรงงานสร้างชาติ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,4,paddleocr+zones,0.7324,needs_review
