province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18_partylist,party_list,2.0,.,,1,,ไทยทรัพย์ทวี เพื่อชาติโทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7229,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,2.0,.,,3,,ใหม่ มิติใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7229,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,2.0,.,,4,,มิติใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7229,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,2.0,.,,5,,รวมใจไทย So,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7229,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,2.0,.,,6,,พลวัต รวมไทยสร้างชาติ So,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7229,ok
ชัยภูมิ,2,5_18_partylist,party_list,2.0,.,,7,,พลวัต ประชาธิปไตยใหม่,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7229,ok
ชัยภูมิ,2,5_18_partylist,party_list,2.0,.,,8,,ประชาธิปไตยใหม่ เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7229,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,2.0,.,,10,,ทางเลือกใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7229,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,2.0,.,,2,,ใหม่ ใหม่ เพื่อชาติโทย เพื่อชาติไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7229,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,2.0,.,,9,,เพื่อไทย เพื่อไทย ทางเลือกใหม ทางเลือกใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7229,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,25,,เพื่อชีวิตใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7607,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,26,,คลองไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7607,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,27,,ประชาธิปัตย์,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7607,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,28,,ไทยก้าวหน้า,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7607,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,29,,ไทยภักดี,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7607,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,30,,แรงงานสร้างชาติ,301.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7607,ok
ชัยภูมิ,2,5_18_partylist,party_list,,,,31,,ประชากรไทย,301.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7607,ok
ชัยภูมิ,2,5_18_partylist,party_list,,,,3,,ครูไทยเพื่อประชาชน,69.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7607,ok
