province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18_partylist,party_list,1.0,.,/เทศบาล....ไะชด,2,,ใหม่ เพื่อชาติโไทย,,371.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7167,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,.,/เทศบาล....ไะชด,3,,ใหม่ มิติใหม่,,371.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7167,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,.,/เทศบาล....ไะชด,4,,มิติใหม่ รวมใจไทย,,371.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7167,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,.,/เทศบาล....ไะชด,5,,รวมใจไทย,2.0,371.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7167,ok
ชัยภูมิ,2,5_18_partylist,party_list,1.0,.,/เทศบาล....ไะชด,6,,รวมไทยสร้างชาติ,0.0,371.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7167,ok
ชัยภูมิ,2,5_18_partylist,party_list,1.0,.,/เทศบาล....ไะชด,7,,พลวัต,,371.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7167,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,.,/เทศบาล....ไะชด,8,,เพื่อไทย ประชาธิปไตยใหม่,,371.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7167,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,.,/เทศบาล....ไะชด,9,,เพื่อไทย ทางเลือกใหม,,371.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7167,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,.,/เทศบาล....ไะชด,10,,ทางเลือกใหม,,371.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7167,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,.,/เทศบาล....ไะชด,1,,เพื่อชาติโไทย เพื่อชาติโไทย ไทยทรัพย์ทวี ไทยทรัพย์ทวี,2.0,371.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7167,ok
