province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18_partylist,party_list,1.0,เธ,,2,,ใหม่ เพื่อชาติโไทย .ิ ..า,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7053,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,เธ,,3,,ใหม่ มิติใหม่ ท .ิ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7053,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,เธ,,4,,มิติใหม่ รวมใจไทย ท,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7053,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,เธ,,5,,รวมไทยสร้างชาติ รวมใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7053,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,เธ,,7,,ประชาธิปไตยใหม่ พลวัต,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7053,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,เธ,,8,,เพื่อไทย ประชาธิปไตยใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7053,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,เธ,,9,,เพื่อไทย ทางเลือกใหม C,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7053,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,เธ,,10,,ทางเลือกใหม C,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7053,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,เธ,,1,,ไทยทรัพย์ทวี ไทยทรัพย์ทวี เพื่อชาติโไทย เพื่อชาติไทย สา ..า,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7053,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,1.0,เธ,,6,,พลวัต รวมไทยสร้างชาติ พลวัต รวมไทยสร้างชาติ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.7053,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,26,,คลองไทย,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7987,ok
ชัยภูมิ,2,5_18_partylist,party_list,,,,27,,ไทยก้าวหน้า ประชาธิปัตย์,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7987,ok
ชัยภูมิ,2,5_18_partylist,party_list,,,,28,,ไทยภักดี ไทยก้าวหน้า,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7987,needs_review
