province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18_partylist,party_list,,,,5,,ritii R r uPen Pi,72.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.3739,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,1,,ritii R r uPen Pi,72.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.3739,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,2,,ซี ซ A F En,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.3739,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,2,,r F คกหะษฐูน กกะนฐูน ACMISLUUSSM ACMIELUUSSM ap ap,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.4072,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,9,,MEEOMOMM,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,3,paddleocr+zones,0.4031,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,2,,กกะนน ACISLUUESM Cp,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,3,paddleocr+zones,0.4031,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,1,,กกะนน ACISLUUESM Cp,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,3,paddleocr+zones,0.4031,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,9,,rtg (ORNU) MWUCLIRCNNLOSNSLURESU,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,4,paddleocr+zones,0.3935,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,2,,(ORNU) NWUOUIREMMLCRSNSLURSE NUOUIRENMLCESNSLURSU,5.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,4,paddleocr+zones,0.3935,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,2,,D,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,5,paddleocr+zones,0.3684,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,1,,t R R ULNUI/CRN/ENL F O Men uieM,3.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,5,paddleocr+zones,0.3684,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,8,,ซ ซี D Mn R,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,5,paddleocr+zones,0.3684,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,8,,r กกทะนน r CCMISLUUSSM F e,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,7,paddleocr+zones,0.4214,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,2,,soyaDgeeua sMrey WUCUIRENMLEASNSLURESU a C,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,8,paddleocr+zones,0.3892,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,1,,r R ULNUI/TERN/ENL r to D uin P,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,9,paddleocr+zones,0.3755,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,10,,Mn UCUNeN nnueUnenn P E D FD W W ศ ท ศ R R ซM WM C P,1.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,9,paddleocr+zones,0.3755,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,2,,P E D FD ซ A F Cr,9.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,9,paddleocr+zones,0.3755,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,20,,-ด -,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,10,paddleocr+zones,0.4304,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,2,,- ด -ด -,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,10,paddleocr+zones,0.4304,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,3,,MMEESUM,9.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,11,paddleocr+zones,0.4235,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,1,,WeOetep) CarN CWUOEIRENMLOESELURSSU R,6.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,12,paddleocr+zones,0.4184,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,9,,MEMLUOUECRBLRNLWUOOUEMNENLO MEMLOWUOIgUEORBLSRNRLWWUOUIOUEMNEMLO P a,8.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,13,paddleocr+zones,0.3752,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,1,,note R R r ศ ULNWUI/ENN/NLG ULNWUI/CNI/NLG r O D uen,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,13,paddleocr+zones,0.3752,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,6,,ซ AIESSSM,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,15,paddleocr+zones,0.4363,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,2,,CNW CAW ON CNNH C O (epe) CWUCUIREMMLCAENSLURSSU CWUCEIREMMLCAENSLURSSU R,4.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,16,paddleocr+zones,0.3829,needs_review
