province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18_partylist,party_list,3.0,/เซต,,1,,ไทยทรัพย์ทวี เพื่อชาติโทย,6.0,49.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.6576,ok
ชัยภูมิ,2,5_18_partylist,party_list,3.0,/เซต,,2,,เพื่อชาติโทย ใหม่,6.0,49.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.6576,ok
ชัยภูมิ,2,5_18_partylist,party_list,3.0,/เซต,,3,,ใหม่ มิติใหม่,,49.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.6576,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,3.0,/เซต,,4,,มิติใหม่ รวมใจไทย,,49.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.6576,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,3.0,/เซต,,6,,พลวัต รวมไทยสร้างชาติ,,49.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.6576,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,3.0,/เซต,,7,,พลวัต ประชาธิปไตยใหม่,,49.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.6576,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,3.0,/เซต,,8,,ประชาธิปไตยใหม่ เพื่อไทย ...้ดสิ,,49.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.6576,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,3.0,/เซต,,5,,รวมใจไทย รวมใจไทย รวมไทยสร้างชาติ รวมไทยสร้างชาติ,,49.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,1,paddleocr+zones,0.6576,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,24,,วิชั่นใหม่ เพื่อชีวิตใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7324,needs_review
ชัยภูมิ,2,5_18_partylist,party_list,,,,25,,เพื่อชีวิตใหม่ คลองไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-บัญชีรายชื่อ.PDF,2,paddleocr+zones,0.7324,needs_review
