province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล--..,1,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,25.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,1,paddleocr+zones,0.6852,ok
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล--..,2,นางสาววาสนา อยู่ภักดี นายเชิงซาย ซาลีรินทร์,ประชาชน เพื่อไทย,25.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,1,paddleocr+zones,0.6852,ok
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล--..,3,นายเชิงซาย ซาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,1,paddleocr+zones,0.6852,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล--..,4,นายณรงค์ แขนอก นายทัศนัย สุขประสาร,ประชาธิปัตย์ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,1,paddleocr+zones,0.6852,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล--..,5,นายโสโซค สู้โนนตาด นายทัศนัย สุขประสาร,รวมไทยสร้างชาติ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,1,paddleocr+zones,0.6852,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล--..,6,นายโสโซค สู้โนนตาด,รวมไทยสร้างชาติ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,1,paddleocr+zones,0.6852,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,..,/เทศบาล--..,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ,9.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,1,paddleocr+zones,0.6852,ok
ชัยภูมิ,2,5_18,constituency,1.0,.5,,6,นายเซิงซาย ซาลีรินทร์ U,ประชาชน เพื่อไทย,15.0,260.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6985,ok
ชัยภูมิ,2,5_18,constituency,1.0,.5,,3,นายเซิงซาย ซาลีรินทร์ U,ประซาธิปัตย์ เพื่อไทย,,260.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6985,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,.5,,4,นายทัศนัย สุขประสาร นายณรงค์ แซนอก,ประซาธิปัตย์ ภูมิใจไทย,2.0,260.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/กะฮาด-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6985,ok
