province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,2.0,..,/เทศบาล..ตลาดร,1,ะ,ไทยก้าวใหม่ ประชาชน,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต.PDF,1,paddleocr+zones,0.6915,needs_review
ชัยภูมิ,2,5_18,constituency,2.0,..,/เทศบาล..ตลาดร,2,,ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต.PDF,1,paddleocr+zones,0.6915,needs_review
ชัยภูมิ,2,5_18,constituency,2.0,..,/เทศบาล..ตลาดร,3,ประชาธิปัตย์,ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต.PDF,1,paddleocr+zones,0.6915,needs_review
ชัยภูมิ,2,5_18,constituency,2.0,..,/เทศบาล..ตลาดร,4,ประชาธิปัตย์,ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต.PDF,1,paddleocr+zones,0.6915,needs_review
ชัยภูมิ,2,5_18,constituency,2.0,..,/เทศบาล..ตลาดร,6,รวมไทยสร้างชาติ,ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต.PDF,1,paddleocr+zones,0.6915,needs_review
ชัยภูมิ,2,5_18,constituency,2.0,..,/เทศบาล..ตลาดร,8,,เศรษฐกิจ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต.PDF,1,paddleocr+zones,0.6915,needs_review
ชัยภูมิ,2,5_18,constituency,2.0,..,/เทศบาล..ตลาดร,5,ประชาธิปัตย์,ประชาธิปัตย์ ภูมิใจไทย ภูมิใจไทย,12.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต.PDF,1,paddleocr+zones,0.6915,ok
ชัยภูมิ,2,5_18,constituency,1000.0,,,2,y,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต.PDF,2,paddleocr+zones,0.6656,needs_review
ชัยภูมิ,2,5_18,constituency,1000.0,,,3,y,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต.PDF,2,paddleocr+zones,0.6656,needs_review
ชัยภูมิ,2,5_18,constituency,2.0,Mมเ,/เทศบาล.ทคดง2.,1,,ไทยก้าวใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต.PDF,3,paddleocr+zones,0.7219,needs_review
