province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,3.0,..,/เทศบาล.น.,4,ประชาธิปัตย์,เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-แบ่งเขต.PDF,1,paddleocr+zones,0.6784,needs_review
ชัยภูมิ,2,5_18,constituency,3.0,..,/เทศบาล.น.,5,ประชาธิปัตย์,ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-แบ่งเขต.PDF,1,paddleocr+zones,0.6784,needs_review
ชัยภูมิ,2,5_18,constituency,3.0,..,/เทศบาล.น.,6,รวมไทยสร้างชาติ,ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-แบ่งเขต.PDF,1,paddleocr+zones,0.6784,needs_review
ชัยภูมิ,2,5_18,constituency,3.0,..,/เทศบาล.น.,8,อรึ้,เศรษฐกิจ,60.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-แบ่งเขต.PDF,1,paddleocr+zones,0.6784,ok
ชัยภูมิ,2,5_18,constituency,3.0,..,/เทศบาล.น.,1,ซ ไทยก้าวใหม่ ไทยก้าวใหม่,mls m,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-แบ่งเขต.PDF,1,paddleocr+zones,0.6784,ok
ชัยภูมิ,2,5_18,constituency,,.น้าขก,/เทศบาล.,1,,ไทยก้าวใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-แบ่งเขต.PDF,3,paddleocr+zones,0.7162,needs_review
ชัยภูมิ,2,5_18,constituency,,.น้าขก,/เทศบาล.,2,,ไทยก้าวใหม่ ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-แบ่งเขต.PDF,3,paddleocr+zones,0.7162,needs_review
ชัยภูมิ,2,5_18,constituency,,.น้าขก,/เทศบาล.,4,นายณรงค์ แขนอก,ประชาธิปัตย์ A,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-แบ่งเขต.PDF,3,paddleocr+zones,0.7162,needs_review
ชัยภูมิ,2,5_18,constituency,,.น้าขก,/เทศบาล.,5,นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย A,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-แบ่งเขต.PDF,3,paddleocr+zones,0.7162,needs_review
ชัยภูมิ,2,5_18,constituency,,.น้าขก,/เทศบาล.,6,รวมไทยสร้างชาติ,ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-แบ่งเขต.PDF,3,paddleocr+zones,0.7162,needs_review
