province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,ปัาวนขจ้า,/เทศบาล..ลูมล,1,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,1,paddleocr+zones,0.6887,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ปัาวนขจ้า,/เทศบาล..ลูมล,2,นางสาววาสนา อยู่ภักดี นายเชิงชาย ซาลีรินทร์,ไทยก้าวใหม่ ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,1,paddleocr+zones,0.6887,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ปัาวนขจ้า,/เทศบาล..ลูมล,3,นายเชิงชาย ซาลีรินทร์,ประชาธิปัตย์ ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,1,paddleocr+zones,0.6887,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ปัาวนขจ้า,/เทศบาล..ลูมล,4,นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,1,paddleocr+zones,0.6887,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ปัาวนขจ้า,/เทศบาล..ลูมล,5,นายโสโซค สู้โนนตาด นายทัศนัย สุขประสาร นายณรงค์ แขนอก รวมไทยสร้างชาติ,ประชาธิปัตย์ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,1,paddleocr+zones,0.6887,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ปัาวนขจ้า,/เทศบาล..ลูมล,6,นายโสโซค สู้โนนตาด นายทัศนัย สุขประสาร รวมไทยสร้างชาติ,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,1,paddleocr+zones,0.6887,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ปัาวนขจ้า,/เทศบาล..ลูมล,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ C,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,1,paddleocr+zones,0.6887,ok
ชัยภูมิ,2,5_18,constituency,6.0,,,2,,*,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,2,paddleocr+zones,0.6765,needs_review
ชัยภูมิ,2,5_18,constituency,6.0,,,3,,*,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,2,paddleocr+zones,0.6765,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,cY,/เทศบาล..,1,นายประเสริฐศักดิ์ ขำหินตัง นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,,4.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ลุ่มลำชี แบ่งเขต.PDF,3,paddleocr+zones,0.7003,needs_review
