province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล..,/เทศบาล..,1,นายประเสริฐศักดิ์ ขำหินต้ง นางสาววาสนา อยู่ภักดี E,ไทยก้าวใหม่ ประชาชน C,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-แบ่งเขต.PDF,1,paddleocr+zones,0.7233,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล..,/เทศบาล..,2,นางสาววาสนา อยู่ภักดี นายเชิงชาย ซาลีรินทร์ E น,ประชาชน เพื่อไทย,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-แบ่งเขต.PDF,1,paddleocr+zones,0.7233,ok
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล..,/เทศบาล..,6,นายเชิงชาย ซาลีรินทร์ นายณรงค์ แขนอก น,ประชาธิปัตย์ เพื่อไทย,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-แบ่งเขต.PDF,1,paddleocr+zones,0.7233,ok
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล..,/เทศบาล..,4,นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย,23.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-แบ่งเขต.PDF,1,paddleocr+zones,0.7233,ok
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล..,/เทศบาล..,5,นายทัศนัย สุขประสาร นายโสโซค สู้โนนตาด นายณรงค์ แขนอก,รวมไทยสร้างชาติ ภูมิใจไทย,12.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-แบ่งเขต.PDF,1,paddleocr+zones,0.7233,ok
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล..,/เทศบาล..,8,นายถวัลย์ หงษ์ไทย ะซื้,เศรษฐกิจ,10.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-แบ่งเขต.PDF,1,paddleocr+zones,0.7233,ok
ชัยภูมิ,2,5_18,constituency,1.0,ตำบล/แขวง/เทศบาล..,/เทศบาล..,3,นายเชิงชาย ซาลีรินทร์ นายเซิงชาย ชาลีรินทร์ นายณรงค์ แขนอก นายณรงค์ แขนอก น,ประชาธิปัตย์ ประชาธิปัตย์ เพื่อไทย เพื่อไทย,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-แบ่งเขต.PDF,1,paddleocr+zones,0.7233,ok
ชัยภูมิ,2,5_18,constituency,2.0,/เซต,/เทศบาล...,2,นางสาววาสนา อยู่ภักดี นายเซิงชาย ซาลีรินทร์,ประชาชน เพื่อไทย,9.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-แบ่งเขต.PDF,3,paddleocr+zones,0.6548,ok
ชัยภูมิ,2,5_18,constituency,2.0,/เซต,/เทศบาล...,6,นายเซิงชาย ซาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย,9.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-แบ่งเขต.PDF,3,paddleocr+zones,0.6548,ok
ชัยภูมิ,2,5_18,constituency,2.0,/เซต,/เทศบาล...,4,นายณรงค์ แขนอก นายทัศนัย สุขประสาร,ประชาธิปัตย์ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.โนนแดง-แบ่งเขต.PDF,3,paddleocr+zones,0.6548,needs_review
