province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,,/เซต,/เทศบาล.เน,9,นายประเสริฐศักด์ ขำหินตั้ง,ไทยก้าวใหม่,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7009,needs_review
ชัยภูมิ,2,5_18,constituency,,/เซต,/เทศบาล.เน,1,นายประเสริฐศักด์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,25.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7009,ok
ชัยภูมิ,2,5_18,constituency,,/เซต,/เทศบาล.เน,4,นายณรงค์ แขนอก นายทัศนัย สุขประสาร,ประชาธิปัตย์ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7009,needs_review
ชัยภูมิ,2,5_18,constituency,,/เซต,/เทศบาล.เน,5,นายณรงค์ แขนอก นายทัศนัย สุขประสาร นายโสโซค สู้โนนตาด,รวมไทยสร้างชาติ ภูมิใจไทย,3.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7009,ok
ชัยภูมิ,2,5_18,constituency,,/เซต,/เทศบาล.เน,6,นายโสโซค สู้โนนตาด,รวมไทยสร้างชาติ,3.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7009,ok
ชัยภูมิ,2,5_18,constituency,,/เซต,/เทศบาล.เน,8,นายถวัลย์ หงษไทย,เศรษฐกิจ d,3.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7009,ok
ชัยภูมิ,2,5_18,constituency,,/เซต,/เทศบาล.เน,2,นางสาววาสนา อยู่ภักดี นายเชิงชาย ซาลีรินทร์ นายเชิงชาย ชาลีรินทร์ O,ประชาชน ประชาชน เพื่อไทย เพื่อไทย,25.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7009,ok
ชัยภูมิ,2,5_18,constituency,,/เซต,/เทศบาล.เน,3,นายเชิงชาย ซาลีรินทร์ นายณรงค์ แขนอก นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ ประชาธิปัตย์ เพื่อไทย เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7009,needs_review
ชัยภูมิ,2,5_18,constituency,,A,/เทศบาล.,1,นายประเสริฐศักดิ์ ขำหินตั้ง,ไทยก้าวใหม่ ประชาซน,609.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6785,ok
ชัยภูมิ,2,5_18,constituency,,A,/เทศบาล.,3,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/ตาเนิน-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6785,needs_review
