province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,,,,2,R,C oan,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,1,paddleocr+zones,0.3598,needs_review
ชัยภูมิ,2,5_18,constituency,,,,7,Gyw,,1.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,1,paddleocr+zones,0.3598,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,,egrr (OU) WUCLIBENMLCASNELUNEEU R,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,2,paddleocr+zones,0.4148,needs_review
ชัยภูมิ,2,5_18,constituency,,,,1,Rtc r *LNUUI/CI/ENL,uen,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,3,paddleocr+zones,0.3752,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,,ซ T,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,3,paddleocr+zones,0.3752,needs_review
ชัยภูมิ,2,5_18,constituency,,,,4,ซี,ซี ซ E T,4.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,3,paddleocr+zones,0.3752,needs_review
ชัยภูมิ,2,5_18,constituency,,,,1,.p peto,(RC) NUCEIBENNLCRENSLUREESU ซ,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,4,paddleocr+zones,0.389,needs_review
ชัยภูมิ,2,5_18,constituency,,,,8,GM pepuet,L,9.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,4,paddleocr+zones,0.389,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,,R E,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,4,paddleocr+zones,0.389,needs_review
ชัยภูมิ,2,5_18,constituency,,,,3,UOกกNSCALSMUNMLEULMEELUEMNLABLE R ซ a P r F,R R R Pn,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,5,paddleocr+zones,0.3752,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,,ซ,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,5,paddleocr+zones,0.3752,needs_review
ชัยภูมิ,2,5_18,constituency,,,,1,srda,elgUn) (ORU) CWUCEIRENMLCASNELUREEU ซ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,6,paddleocr+zones,0.399,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,ผM pU,eU,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,6,paddleocr+zones,0.399,needs_review
ชัยภูมิ,2,5_18,constituency,,,,9,"""nenLe MenLe O MUCUISUEMOBLSONNLWWUOSUEMNENL (WUGEINCAMC) MWUELUWUOIUEMCMLC ด ซ A",PR R,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7,paddleocr+zones,0.3659,needs_review
ชัยภูมิ,2,5_18,constituency,,,,1,Ratw MrUUNBCENBSIUMOIMECSEI R ro FI,n P I,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7,paddleocr+zones,0.3659,needs_review
ชัยภูมิ,2,5_18,constituency,,,,7,UCกกNALSMLUELRELUEMBLS,A Dr,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7,paddleocr+zones,0.3659,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,R,D,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,7,paddleocr+zones,0.3659,needs_review
ชัยภูมิ,2,5_18,constituency,,,,3,Sarat O,(aBg) NWUOUIBEMNLSSNSLURESU ซ iC,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,8,paddleocr+zones,0.378,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,M,,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,8,paddleocr+zones,0.378,needs_review
ชัยภูมิ,2,5_18,constituency,,,,159,ทอ VOO sneMLg neMLe WUOUISUEIMCRBLSRNNNLWUOUISUEMNENLC ซ (WUEICALMC) MUENLRUWUCUISUENELCด,,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,9,paddleocr+zones,0.3816,needs_review
ชัยภูมิ,2,5_18,constituency,,,,1,a D,A ดร D G uen,7.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,9,paddleocr+zones,0.3816,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,R,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,9,paddleocr+zones,0.3816,needs_review
ชัยภูมิ,2,5_18,constituency,,,,9,ENU/ER/ENL ซ a D D,A ดร A D G S uen Men,7.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,9,paddleocr+zones,0.3816,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,lad,(ORN) CWUCUIBCNNLRENELURSSU ซ m,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,10,paddleocr+zones,0.4046,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,O,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,11,paddleocr+zones,0.3934,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,Tl,(OR) K WUCEIBCMNLCASNSLUEEU R C,6.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,12,paddleocr+zones,0.3924,needs_review
ชัยภูมิ,2,5_18,constituency,,,,20,,G,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,12,paddleocr+zones,0.3924,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,sge,(ORU) CWUOEIBENMLGASNSLURESU R,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,14,paddleocr+zones,0.3886,needs_review
ชัยภูมิ,2,5_18,constituency,,,,8,R,,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,14,paddleocr+zones,0.3886,needs_review
ชัยภูมิ,2,5_18,constituency,,,,8,) ทอ ) น MeMLG nenL& UCUIUEMCRRLSNNNLWWUOUSUEMNENL (OUOINME) MUENLUUOISUEMNENLด ซ,,8.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,15,paddleocr+zones,0.3684,needs_review
ชัยภูมิ,2,5_18,constituency,,,,1,WRI/OILG rUc W ro ELNWUICRI/ENL A,F X uen,2.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,15,paddleocr+zones,0.3684,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,F F ซ ซ,C,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,15,paddleocr+zones,0.3684,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,wg porne,(epe) CWUOUIBENMLLAEASEUREEU ซี BCe,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,16,paddleocr+zones,0.4027,needs_review
ชัยภูมิ,2,5_18,constituency,,,,5,GM,,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,16,paddleocr+zones,0.4027,needs_review
ชัยภูมิ,2,5_18,constituency,,,,20,,ด,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,16,paddleocr+zones,0.4027,needs_review
ชัยภูมิ,2,5_18,constituency,,,,1,pccd R r ELNAU/SERI/ENLG ซ,my,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,17,paddleocr+zones,0.3813,needs_review
ชัยภูมิ,2,5_18,constituency,,,,7,pccd R r ELNAU/SERI/ENLG ซ FD,n my jiet,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,17,paddleocr+zones,0.3813,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,UINกEALSNLUREULUELBL F,R,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,17,paddleocr+zones,0.3813,needs_review
ชัยภูมิ,2,5_18,constituency,,,,2,,ซ C,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,18,paddleocr+zones,0.4286,needs_review
