province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,1.0,.นส,/เทศบาล-..,1,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,39.0,3.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7001,ok
ชัยภูมิ,2,5_18,constituency,1.0,.นส,/เทศบาล-..,2,นางสาววาสนา อยู่ภักดี นายเซิงซาย ซาลีรินทร์,ประชาชน เพื่อไทย,39.0,3.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7001,ok
ชัยภูมิ,2,5_18,constituency,1.0,.นส,/เทศบาล-..,3,นายเซิงซาย ซาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย,2.0,3.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7001,ok
ชัยภูมิ,2,5_18,constituency,1.0,.นส,/เทศบาล-..,4,นายทัศนัย สุขประสาร นายณรงค์ แขนอก,ประชาธิปัตย์ ภูมิใจไทย,8.0,3.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7001,ok
ชัยภูมิ,2,5_18,constituency,1.0,.นส,/เทศบาล-..,5,นายทัศนัย สุขประสาร นายโสโซค สู้โนนตาด,รวมไทยสร้างชาติ ภูมิใจไทย,8.0,3.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7001,ok
ชัยภูมิ,2,5_18,constituency,1.0,.นส,/เทศบาล-..,6,นายโสโซค สู้โนนตาด,รวมไทยสร้างชาติ,,3.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7001,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,.นส,/เทศบาล-..,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ,221.0,3.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7001,ok
ชัยภูมิ,2,5_18,constituency,,..เนนลงา,/เทศบาล-..,1,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี,ไทยก้าวใหม่ ประชาชน,9.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6785,ok
ชัยภูมิ,2,5_18,constituency,,..เนนลงา,/เทศบาล-..,2,นางสาววาสนา อยู่ภักดี นายเชิงชาย ซาลีรินทร์ น,ประชาชน เพื่อไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6785,needs_review
ชัยภูมิ,2,5_18,constituency,,..เนนลงา,/เทศบาล-..,6,นายเชิงชาย ซาลีรินทร์ นายณรงค์ แขนอก น,ประชาธิปัตย์ เพื่อไทย,8.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/รังงาม-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6785,ok
