province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status
ชัยภูมิ,2,5_18,constituency,,เ,/เทศบาล.นนอรลิม,1,นายประเสริฐศักดิ์ ขำหินตัง นางสาววาสนา อยู่ภักดี O,ไทยก้าวใหม่ ประชาชน,28.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7315,ok
ชัยภูมิ,2,5_18,constituency,,เ,/เทศบาล.นนอรลิม,3,นายเซิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย S.,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7315,needs_review
ชัยภูมิ,2,5_18,constituency,,เ,/เทศบาล.นนอรลิม,4,นายณรงค์ แขนอก นายทัศนัย สุขประสาร,ประชาธิปัตย์ ภูมิใจไทย S.,21.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7315,ok
ชัยภูมิ,2,5_18,constituency,,เ,/เทศบาล.นนอรลิม,5,นายณรงค์ แขนอก นายทัศนัย สุขประสาร นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ ภูมิใจไทย A,21.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7315,ok
ชัยภูมิ,2,5_18,constituency,,เ,/เทศบาล.นนอรลิม,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ A,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7315,needs_review
ชัยภูมิ,2,5_18,constituency,,เ,/เทศบาล.นนอรลิม,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7315,needs_review
ชัยภูมิ,2,5_18,constituency,,เ,/เทศบาล.นนอรลิม,2,นางสาววาสนา อยู่ภักดี นางสาววาสนา อยู่ภักดี นายเซิงชาย ชาลีรินทร์ นายเซิงชาย ชาลีรินทร์ O,ประชาชน ประชาชน เพื่อไทย เพื่อไทย,28.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,1,paddleocr+zones,0.7315,ok
ชัยภูมิ,2,5_18,constituency,2.0,เน,,2,นางสาววาสนา อยู่ภักดี นายเชิงชาย ซาลีรินทร์ T,ประชาชน เพื่อไทย,3.0,22.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6963,ok
ชัยภูมิ,2,5_18,constituency,2.0,เน,,6,นายเชิงชาย ซาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย,2.0,22.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6963,ok
ชัยภูมิ,2,5_18,constituency,2.0,เน,,4,นายณรงค์ แขนอก นายทัศนัย สุขประสาร,ประชาธิปัตย์ ภูมิใจไทย,2.0,22.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6963,ok
ชัยภูมิ,2,5_18,constituency,2.0,เน,,5,นายโสโซค สู้โนนตาด นายณรงค์ แขนอก นายทัศนัย สุขประสาร,รวมไทยสร้างชาติ ภูมิใจไทย,,22.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6963,needs_review
ชัยภูมิ,2,5_18,constituency,2.0,เน,,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ K,4.0,22.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6963,ok
ชัยภูมิ,2,5_18,constituency,2.0,เน,,1,นายประเสริฐศักดิ์ ขำหินตั้ง นางสาววาสนา อยู่ภักดี นางสาววาสนา อยู่ภักดี T C,ไทยก้าวใหม่ ไทยก้าวใหม่ ประชาชน ประชาชน,3.0,22.0,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,3,paddleocr+zones,0.6963,ok
ชัยภูมิ,2,5_18,constituency,1.0,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,/เทศบาล.หหองซิม,6,นายเซิงชาย ซาลีรินทร์ นายณรงค์ แขนอก,ประชาธิปัตย์ เพื่อไทย ดร,0.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,5,paddleocr+zones,0.6785,ok
ชัยภูมิ,2,5_18,constituency,1.0,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,/เทศบาล.หหองซิม,4,นายณรงค์ แขนอก นายทัศนัย สุขประสาร,ประชาธิปัตย์ ภูมิใจไทย,,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,5,paddleocr+zones,0.6785,needs_review
ชัยภูมิ,2,5_18,constituency,1.0,เสร็จสิ้นเป็นที่เรียบร้อยแล้ว,/เทศบาล.หหองซิม,5,นายณรงค์ แขนอก นายทัศนัย สุขประสาร นายโสโซค สู้โนนตาด,รวมไทยสร้างชาติ ภูมิใจไทย,20.0,,,,,,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอเนินสง่า/หนองฉิม-001-แบ่งเขต.PDF,5,paddleocr+zones,0.6785,ok
