province,zone,form_type,voting_type,station_id,party_no,party,votes,total_ballots,invalid_ballots,no_vote_ballots
ชัยภูมิ,2,516_bch,in_district,,5,รวมใจไทย รวมไทยสร้างชาติ,,,,
ชัยภูมิ,2,516_bch,in_district,,6,พลวัต รวมไทยสร้างชาติ,,,,
ชัยภูมิ,2,516_bch,in_district,,7,พลวัต ประชาธิปไตยใหม่,,,,
ชัยภูมิ,2,516_bch,in_district,,8,เพื่อไทย ประชาธิปไตยใหม่,,,,
ชัยภูมิ,2,516_bch,in_district,,9,เพื่อไทย ทางเลือกใหม,,,,
ชัยภูมิ,2,516_bch,in_district,,10,ทางเลือกใหม,,,,
ชัยภูมิ,2,516_bch,in_district,,2,คณะกรรมการนับคะแนนบัตรเลือกตั้งในเขตเลือกตั้ง ได้ดำเนินการนับบัตรเลือกตั้งตามข้อ,1,,,
ชัยภูมิ,2,516_bch,in_district,,27,ประชาธิปัตย์ ไทยก้าวหน้า,,,,
ชัยภูมิ,2,516_bch,in_district,,28,ไทยก้าวหน้า ไทยภักดี,,,,
ชัยภูมิ,2,516_bch,in_district,,29,แรงงานสร้างชาติ ไทยภักดี,,,,
ชัยภูมิ,2,516_bch,in_district,,3,แรงงานสร้างชาติ ประชากรไทย,,,,
ชัยภูมิ,2,516_bch,in_district,,31,ประชากรไทย ครูไทยเพื่อประชาชน W,,,,
ชัยภูมิ,2,516_bch,in_district,,32,ครูไทยเพื่อประชาชน ประชาชาติ W,256,,,
ชัยภูมิ,2,516_bch,in_district,,33,สรางอนาคตไทย ประชาชาติ,256,,,
ชัยภูมิ,2,516_bch,in_district,,34,สรางอนาคตไทย,4,,,
ชัยภูมิ,2,516_bch,in_district,,51,พร้อม,,,,
ชัยภูมิ,2,516_bch,in_district,,52,เครือขายชาวนาแหงประเทศไทย ไทยพิทักษ์ธรรม,4,,,
ชัยภูมิ,2,516_bch,in_district,,53,ความหวังใหม่ ไทยพิทักษ์ธรรม,4,,,
ชัยภูมิ,2,516_bch,in_district,,54,ความหวังใหม่,,,,
ชัยภูมิ,2,516_bch,in_district,,55,เพื่อบ้านเมือง ไทยรวมไทย,,,,
ชัยภูมิ,2,516_bch,in_district,,5,เพื่อบ้านเมือง พลังไทยรักชาติ,,,,
ชัยภูมิ,2,517_bch,out_district,,3,ใหม่ มิติใหม่,,,,
ชัยภูมิ,2,517_bch,out_district,,5,รวมใจไทย รวมไทยสร้างชาติ,2,,,
ชัยภูมิ,2,517_bch,out_district,,7,พลวัต ประชาธิปไตยใหม่,,,,
ชัยภูมิ,2,517_bch,out_district,,8,เพื่อไทย ประชาธิปไตยใหม่,1022,,,
ชัยภูมิ,2,517_bch,out_district,,9,เพื่อไทย ทางเลือกใหม,1022,,,
ชัยภูมิ,2,517_bch,out_district,,10,ทางเลือกใหม,,,,
ชัยภูมิ,2,517_bch,out_district,,6,พลวัตร พลวัต รวมไทยสร้างชาติ รวมไทยสร้างชาติ,,,,
ชัยภูมิ,2,517_bch,out_district,,27,ประชาธิปัตย์ ไทยก้าวหน้า,,,,
ชัยภูมิ,2,517_bch,out_district,,28,ไทยภักดี ไทยก้าวหน้า,,,,
ชัยภูมิ,2,517_bch,out_district,,29,ไทยภักดี แรงงานสร้างชาติ,,,,
ชัยภูมิ,2,517_bch,out_district,,3,แรงงานสร้างชาติ ประชากรไทย,,,,
ชัยภูมิ,2,517_bch,out_district,,31,ครูไทยเพื่อประชาชน ประชากรไทย,,,,
