province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,total_choice_votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,choice_count,needs_review_rows
ชัยภูมิ,2,5_16,constituency,,,,1.0,,,,,,3,2
ชัยภูมิ,2,5_16_partylist,party_list,,,,525.0,,,,,,20,15
ชัยภูมิ,2,5_17,constituency,2.0,,,32.0,,,,,,8,8
ชัยภูมิ,2,5_17,constituency,7.0,,,34.0,,,,,,4,4
ชัยภูมิ,2,5_17,constituency,700.0,,,31.0,,,,,,5,0
ชัยภูมิ,2,5_17,constituency,,,,1.0,,,,,,9,13
ชัยภูมิ,2,5_17_partylist,party_list,,,,5222.0,,,,,,29,120
ชัยภูมิ,2,5_18,constituency,0.0,,,120.0,,,,,,3,4
ชัยภูมิ,2,5_18,constituency,1.0,,,16196.0,318.0,,,,,7,35
ชัยภูมิ,2,5_18,constituency,1.0,,/เทศรี,5106.0,,,,,,6,1
ชัยภูมิ,2,5_18,constituency,1.0,,แขวง/เทศบาล.ูอำเอ/ขต.,0.0,,,,,,3,3
ชัยภูมิ,2,5_18,constituency,1.0,-..,/เทศบาละะ,0.0,,,,,,1,1
ชัยภูมิ,2,5_18,constituency,1.0,...,,0.0,,,,,,1,1
ชัยภูมิ,2,5_18,constituency,1.0,...,/เทศบาล.,4.0,,,,,,5,3
ชัยภูมิ,2,5_18,constituency,1.0,.ต,/เทศบาล.นหอรอำเภอ/เขต.ต,2.0,,,,,,7,5
ชัยภูมิ,2,5_18,constituency,1.0,จัตุรัส,กุดน้ำใส,262.0,524.0,291.0,262.0,19.0,10.0,7,0
ชัยภูมิ,2,5_18,constituency,1.0,มี,,11.0,,,,,,3,0
ชัยภูมิ,2,5_18,constituency,1.0,เลือกตั้งของหนวยเือกต้งที่,,2.0,,,,,,3,2
ชัยภูมิ,2,5_18,constituency,1.0,…..,,0.0,,,,,,5,4
ชัยภูมิ,2,5_18,constituency,2.0,,,0.0,,,,,,4,5
ชัยภูมิ,2,5_18,constituency,2.0,จัตุรัส,กุดน้ำใส,58.0,,,,,,5,5
ชัยภูมิ,2,5_18,constituency,3.0,จัตุรัส,กุดน้ำใส,0.0,,,,,,5,6
ชัยภูมิ,2,5_18,constituency,4.0,จัตุรัส,กุดน้ำใส,49.0,,,,,,4,2
ชัยภูมิ,2,5_18,constituency,5.0,จัตุรัส,กุดน้ำใส,5857.0,,,,,,6,4
ชัยภูมิ,2,5_18,constituency,6.0,จัตุรัส,กุดน้ำใส,13.0,,,,,,5,2
ชัยภูมิ,2,5_18,constituency,7.0,จัตุรัส,กุดน้ำใส,7.0,,,,,,8,5
ชัยภูมิ,2,5_18,constituency,8.0,จัตุรัส,กุดน้ำใส,33.0,,,,,,6,2
ชัยภูมิ,2,5_18,constituency,9.0,,,13.0,,,,,,2,2
ชัยภูมิ,2,5_18,constituency,10.0,จัตุรัส,กุดน้ำใส,0.0,,,,,,5,3
ชัยภูมิ,2,5_18,constituency,11.0,จัตุรัส,กุดน้ำใส,12.0,,,,,,5,2
ชัยภูมิ,2,5_18,constituency,12.0,จัตุรัส,กุดน้ำใส,72.0,,,,,,5,2
ชัยภูมิ,2,5_18,constituency,13.0,จัตุรัส,กุดน้ำใส,88.0,,,,,,5,2
ชัยภูมิ,2,5_18,constituency,14.0,จัตุรัส,กุดน้ำใส,12.0,,,,,,4,1
ชัยภูมิ,2,5_18,constituency,15.0,จัตุรัส,กุดน้ำใส,6.0,,,,,,5,1
