priority,reason,suggested_action,row_index,province,form_type,vote_type,polling_station_no,choice_no,choice_name,party_name,votes,ballots_cast,valid_votes,invalid_votes,no_vote,ocr_confidence,validation_status,source_pdf,source_page
P0,missing_votes,Open source PDF page and type the vote value manually.,22,ชัยภูมิ,5_17_partylist,party_list,,8,,C,,,,,,0.7051,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,1
P0,missing_votes,Open source PDF page and type the vote value manually.,23,ชัยภูมิ,5_17_partylist,party_list,,3,,rs,,,,,,0.643,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,2
P0,missing_votes,Open source PDF page and type the vote value manually.,24,ชัยภูมิ,5_17_partylist,party_list,,31,,rs y$,,,,,,0.643,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,2
P0,missing_votes,Open source PDF page and type the vote value manually.,25,ชัยภูมิ,5_17_partylist,party_list,,32,,y$,,,,,,0.643,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,2
P0,missing_votes,Open source PDF page and type the vote value manually.,26,ชัยภูมิ,5_17_partylist,party_list,,55,,M,,,,,,0.6463,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,3
P0,missing_votes,Open source PDF page and type the vote value manually.,27,ชัยภูมิ,5_17_partylist,party_list,,5,,ud M,,,,,,0.6463,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,3
P0,missing_votes,Open source PDF page and type the vote value manually.,28,ชัยภูมิ,5_17_partylist,party_list,,57,,D tasocD ud,,,,,,0.6463,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,3
P0,missing_votes,Open source PDF page and type the vote value manually.,29,ชัยภูมิ,5_17_partylist,party_list,,4,,Maaทนน,,,,,,0.708,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,5
P0,missing_votes,Open source PDF page and type the vote value manually.,30,ชัยภูมิ,5_17_partylist,party_list,,5,,Maaทนน นน,,,,,,0.708,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,5
P0,missing_votes,Open source PDF page and type the vote value manually.,31,ชัยภูมิ,5_17_partylist,party_list,,8,,-**---*.* กลoา,,,,,,0.708,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,5
P0,missing_votes,Open source PDF page and type the vote value manually.,32,ชัยภูมิ,5_17_partylist,party_list,,9,,-**---*.* ศมทาน,,,,,,0.708,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,5
P0,missing_votes,Open source PDF page and type the vote value manually.,33,ชัยภูมิ,5_17_partylist,party_list,,10,,ศมทาน,,,,,,0.708,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,5
P0,missing_votes,Open source PDF page and type the vote value manually.,34,ชัยภูมิ,5_17_partylist,party_list,,2,,do,,,,,,0.6983,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,9
P0,missing_votes,Open source PDF page and type the vote value manually.,35,ชัยภูมิ,5_17_partylist,party_list,,1,,แปก,,,,,,0.6983,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,9
P0,missing_votes,Open source PDF page and type the vote value manually.,36,ชัยภูมิ,5_17_partylist,party_list,,7,,O,,,,,,0.6983,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,9
P0,missing_votes,Open source PDF page and type the vote value manually.,37,ชัยภูมิ,5_17_partylist,party_list,,9,,คด,,,,,,0.6983,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,9
P0,missing_votes,Open source PDF page and type the vote value manually.,38,ชัยภูมิ,5_17_partylist,party_list,,10,,คด,,,,,,0.6983,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,9
P0,missing_votes,Open source PDF page and type the vote value manually.,39,ชัยภูมิ,5_17_partylist,party_list,,31,,oro,,,,,,0.6889,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,10
P0,missing_votes,Open source PDF page and type the vote value manually.,41,ชัยภูมิ,5_17_partylist,party_list,,34,,r,,,,,,0.6889,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,10
P0,missing_votes,Open source PDF page and type the vote value manually.,42,ชัยภูมิ,5_17_partylist,party_list,,57,,usogunsn,,,,,,0.6359,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,11
P0,missing_votes,Open source PDF page and type the vote value manually.,43,ชัยภูมิ,5_17_partylist,party_list,,8,,...=,,,,,,0.7593,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,13
P0,missing_votes,Open source PDF page and type the vote value manually.,44,ชัยภูมิ,5_17_partylist,party_list,,5,,.***,,,,,,0.7338,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,15
